Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spending,Living_with,Children,Family_Size,is_parent,Total_Purchases,Total_Campaign_Accepted,Cluster_K2,Cluster_K4,K2_Description,K4_Description
Graduate,43057.0,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,51,266,Partner,1,3,1,11,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,83151.0,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,66,747,Partner,0,2,0,18,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,78825.0,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,62,895,Alone,0,1,0,28,1,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,50,1053,Partner,1,3,1,15,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,60093.0,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,52,735,Partner,1,3,1,19,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,57,20,Partner,1,3,1,4,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Undergraduate,28457.0,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,74,205,Alone,0,1,0,9,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,68,2092,Partner,1,3,1,19,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,46310.0,1,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,50,309,Alone,1,2,1,12,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,76005.0,0,0,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,71,1722,Partner,0,2,0,21,1,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,58308.0,0,1,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,62,900,Alone,1,2,1,11,0,1,3,Low Income – Low Spending,High Income – Low Spending
Postgraduate,55614.0,0,0,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,82,682,Alone,0,1,0,19,1,0,3,High Income – High Spending,High Income – Low Spending
Postgraduate,59432.0,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,64,663,Alone,1,2,1,19,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,48,43,Alone,1,2,1,5,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,78642.0,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,55,1816,Partner,1,3,1,17,0,0,3,High Income – High Spending,High Income – Low Spending
Postgraduate,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,77,976,Partner,1,3,1,24,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,82,746,Partner,0,2,0,20,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,27203.0,1,1,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,76,64,Partner,2,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,65,32,Partner,1,3,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,36,263,Partner,0,2,0,8,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,41,1445,Partner,1,3,1,19,0,0,3,High Income – High Spending,High Income – Low Spending
Postgraduate,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,70,46,Partner,1,3,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,73,1210,Alone,0,1,0,26,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,50,945,Partner,1,3,1,23,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,37,1157,Alone,0,1,0,21,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,34,137,Partner,0,2,0,7,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,67,730,Alone,1,2,1,19,0,0,3,High Income – High Spending,High Income – Low Spending
Postgraduate,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,45,216,Partner,1,3,1,9,1,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,47,943,Alone,1,2,1,22,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,62,347,Partner,2,4,1,13,1,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,67,1924,Partner,0,2,0,18,1,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,44124.0,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,80,397,Partner,1,3,1,13,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,81169.0,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,51,2089,Alone,0,1,0,21,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,65,138,Partner,2,4,1,7,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,26095.0,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,36,42,Alone,1,2,1,4,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,67,777,Partner,0,2,0,16,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,82,1902,Partner,0,2,0,19,2,0,0,High Income – High Spending,High Income – High Spending
Graduate,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,61,52,Alone,2,3,1,5,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,39,1651,Alone,0,1,0,12,1,0,0,High Income – High Spending,High Income – High Spending
Graduate,42691.0,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,35,358,Partner,0,2,0,12,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,70503.0,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,73,1727,Partner,0,2,0,15,2,0,0,High Income – High Spending,High Income – High Spending
Graduate,25545.0,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,39,210,Partner,1,3,1,7,1,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,40,42,Partner,1,3,1,4,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,68,1291,Partner,0,2,0,19,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,49,442,Partner,0,2,0,14,0,0,2,High Income – High Spending,Low Income – Low Spending
Graduate,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,62,1895,Alone,0,1,0,16,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,66,411,Partner,2,4,1,13,0,1,3,Low Income – Low Spending,High Income – Low Spending
Undergraduate,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,51,521,Alone,1,2,1,15,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,57,1168,Alone,1,2,1,16,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,49,493,Partner,2,4,1,16,1,1,3,Low Income – Low Spending,High Income – Low Spending
Graduate,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,64,260,Partner,2,4,1,10,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,44,46,Alone,1,2,1,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,75,319,Partner,1,3,1,12,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,59,96,Partner,1,3,1,6,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,59,1062,Alone,0,1,0,15,2,0,0,High Income – High Spending,High Income – High Spending
Undergraduate,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,74,232,Partner,1,3,1,10,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,45,76,Alone,1,2,1,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Undergraduate,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,49,54,Partner,1,3,1,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,57,201,Alone,1,2,1,9,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,42,406,Alone,1,2,1,12,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,44,1919,Partner,0,2,0,19,3,0,0,High Income – High Spending,High Income – High Spending
Graduate,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,50,662,Partner,1,3,1,18,0,0,3,High Income – High Spending,High Income – Low Spending
Undergraduate,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,36,41,Partner,1,3,1,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,62,1600,Alone,0,1,0,13,1,0,0,High Income – High Spending,High Income – High Spending
Graduate,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,46,134,Partner,1,3,1,7,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,58,69,Partner,2,4,1,6,2,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,53,21,Partner,2,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,63,54,Alone,2,3,1,5,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,37,91,Alone,1,2,1,6,2,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,55,526,Alone,1,2,1,16,0,1,3,Low Income – Low Spending,High Income – Low Spending
Graduate,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,63,162,Partner,0,2,0,7,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,77,1008,Partner,0,2,0,24,1,0,0,High Income – High Spending,High Income – High Spending
Graduate,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,74,240,Partner,2,4,1,10,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,48,795,Alone,1,2,1,19,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,44,1772,Partner,0,2,0,18,1,0,0,High Income – High Spending,High Income – High Spending
Undergraduate,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,56,64,Partner,0,2,0,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,67,1957,Partner,1,3,1,19,5,0,0,High Income – High Spending,High Income – High Spending
Graduate,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,48,78,Partner,1,3,1,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,46,1572,Alone,0,1,0,19,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,55,795,Partner,1,3,1,24,0,0,3,High Income – High Spending,High Income – Low Spending
Undergraduate,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,56,889,Partner,1,3,1,21,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,63,331,Alone,1,2,1,12,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,76,265,Partner,1,3,1,10,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,64,1065,Alone,1,2,1,15,0,0,3,High Income – High Spending,High Income – Low Spending
Postgraduate,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,75,11,Partner,2,4,1,3,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,47,21,Alone,1,2,1,3,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,56,17,Partner,2,4,1,3,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,52,369,Partner,1,3,1,11,0,1,3,Low Income – Low Spending,High Income – Low Spending
Postgraduate,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,58,38,Partner,2,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,48,177,Alone,1,2,1,8,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,56,279,Partner,1,3,1,11,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,45,62,Partner,1,3,1,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,49,1230,Partner,1,3,1,18,4,0,3,High Income – High Spending,High Income – Low Spending
Graduate,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,58,182,Partner,2,4,1,8,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,56,49,Partner,2,4,1,6,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,60,75,Partner,2,4,1,6,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,70,227,Partner,2,4,1,10,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,52,215,Partner,2,4,1,10,1,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,75,444,Partner,1,3,1,13,0,1,3,Low Income – Low Spending,High Income – Low Spending
Undergraduate,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,59,47,Partner,2,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,75,143,Partner,0,2,0,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,43,55,Partner,1,3,1,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Undergraduate,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,55,63,Partner,2,4,1,7,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,71,1867,Alone,0,1,0,21,4,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,65,611,Partner,1,3,1,18,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,71,473,Partner,1,3,1,15,1,1,3,Low Income – Low Spending,High Income – Low Spending
Graduate,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,67,55,Partner,0,2,0,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,42,81,Alone,1,2,1,5,1,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,51,2086,Partner,0,2,0,21,3,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,61,1478,Alone,0,1,0,19,0,0,0,High Income – High Spending,High Income – High Spending
Graduate,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,49,49,Partner,1,3,1,4,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,54,382,Partner,0,2,0,14,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,51,69,Partner,1,3,1,6,1,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,57,67,Alone,1,2,1,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,57,30,Partner,2,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,48,63,Partner,1,3,1,6,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,45,79,Partner,1,3,1,7,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,65,42,Alone,1,2,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,66,819,Partner,1,3,1,20,0,0,3,High Income – High Spending,High Income – Low Spending
Graduate,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,71,1151,Alone,0,1,0,16,0,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,78,594,Partner,2,4,1,17,0,1,3,Low Income – Low Spending,High Income – Low Spending
Postgraduate,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,60,129,Partner,2,4,1,7,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,40,213,Alone,1,2,1,8,1,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,53,67,Alone,1,2,1,5,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,70,28,Alone,3,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,51,45,Partner,1,3,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,61,1193,Partner,0,2,0,17,1,0,0,High Income – High Spending,High Income – High Spending
Postgraduate,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,57,268,Alone,0,1,0,10,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Postgraduate,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,82,266,Alone,0,1,0,11,0,1,1,Low Income – Low Spending,Low Income – High Spending
Undergraduate,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,53,37,Partner,1,3,1,4,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,59,37,Partner,3,5,1,5,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,57,882,Alone,0,1,0,22,1,0,0,High Income – High Spending,High Income – High Spending
Graduate,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,52,373,Partner,2,4,1,13,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,61,35,Alone,3,4,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,48,42,Alone,2,3,1,4,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,66,326,Partner,1,3,1,12,0,1,1,Low Income – Low Spending,Low Income – High Spending
Postgraduate,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,65,404,Partner,1,3,1,14,0,1,1,Low Income – Low Spending,Low Income – High Spending
Graduate,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,55,95,Alone,0,1,0,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,77,939,Alone,0,1,0,13,2,0,0,High Income – High Spending,High Income – High Spending
Undergraduate,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,48,33,Alone,1,2,1,4,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Undergraduate,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,71,981,Partner,0,2,0,20,1,0,0,High Income – High Spending,High Income – High Spending
Graduate,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,50,36,Partner,1,3,1,5,0,1,2,Low Income – Low Spending,Low Income – Low Spending
Graduate,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,51,1237,Alone,1,2,1,19,0,0,0,High Income – High Spending,High Income – High Spending
